Geo_FIPS,Geo_NAME,Geo_QNAME,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005
4507199999,Newberry County,"Newberry County, South Carolina",454,458,619,797,1077
4507399999,Oconee County,"Oconee County, South Carolina",478,481,608,757,950
4507599999,Orangeburg County,"Orangeburg County, South Carolina",380,497,627,781,1060
4507799999,Pickens County,"Pickens County, South Carolina",485,611,725,962,1139
4507999999,Richland County,"Richland County, South Carolina",605,656,778,1026,1301
4508199999,Saluda County,"Saluda County, South Carolina",605,656,778,1026,1301
4508399999,Spartanburg County,"Spartanburg County, South Carolina",426,568,674,900,1012
4508599999,Sumter County,"Sumter County, South Carolina",505,508,652,812,1007
4508799999,Union County,"Union County, South Carolina",446,449,608,803,813
4508999999,Williamsburg County,"Williamsburg County, South Carolina",362,513,608,781,848
4509199999,York County,"York County, South Carolina",636,701,831,1120,1389
4600399999,Aurora County,"Aurora County, South Dakota",511,517,700,956,960
4600599999,Beadle County,"Beadle County, South Dakota",468,473,640,859,863
4600799999,Bennett County,"Bennett County, South Dakota",468,540,640,943,1047
4600999999,Bon Homme County,"Bon Homme County, South Dakota",468,516,640,898,979
4601199999,Brookings County,"Brookings County, South Dakota",450,523,708,1043,1254
4601399999,Brown County,"Brown County, South Dakota",438,497,672,855,1190
4601599999,Brule County,"Brule County, South Dakota",468,540,640,883,886
4601799999,Buffalo County,"Buffalo County, South Dakota",563,570,771,960,1030
4601999999,Butte County,"Butte County, South Dakota",468,523,640,943,946
4602199999,Campbell County,"Campbell County, South Dakota",468,500,640,883,886
4602399999,Charles Mix County,"Charles Mix County, South Dakota",468,540,640,830,855
4602599999,Clark County,"Clark County, South Dakota",468,473,640,797,855
4602799999,Clay County,"Clay County, South Dakota",522,556,715,1054,1266
4602999999,Codington County,"Codington County, South Dakota",439,532,691,891,923
4603199999,Corson County,"Corson County, South Dakota",468,474,640,911,914
4603399999,Custer County,"Custer County, South Dakota",541,547,740,922,1226
4603599999,Davison County,"Davison County, South Dakota",466,500,677,891,905
4603799999,Day County,"Day County, South Dakota",468,473,640,943,946
4603999999,Deuel County,"Deuel County, South Dakota",468,540,640,925,929
4604199999,Dewey County,"Dewey County, South Dakota",468,473,640,890,902
4604399999,Douglas County,"Douglas County, South Dakota",609,616,834,1039,1115
